side_dist = (2.00, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.33, 1.00)
side_dist = (2.01, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.34, 1.00)
side_dist = (2.01, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.34, 1.00)
side_dist = (2.02, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.35, 1.00)
side_dist = (2.03, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.35, 1.00)
side_dist = (2.03, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.36, 1.00)
side_dist = (2.04, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.36, 1.00)
side_dist = (2.04, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.36, 1.00)
side_dist = (2.05, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.37, 1.00)
side_dist = (2.06, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.37, 1.00)
side_dist = (2.06, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.38, 1.00)
side_dist = (2.07, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.38, 1.00)
side_dist = (2.08, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.38, 1.00)
side_dist = (2.08, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.39, 1.00)
side_dist = (2.09, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.39, 1.00)
side_dist = (2.10, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.40, 1.00)
side_dist = (2.10, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.40, 1.00)
side_dist = (2.11, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.41, 1.00)
side_dist = (2.12, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.41, 1.00)
side_dist = (2.12, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.42, 1.00)
side_dist = (2.13, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.42, 1.00)
side_dist = (2.14, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.42, 1.00)
side_dist = (2.14, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.43, 1.00)
